Registration Number,UG Name of university,UGCGPA,Year of graduation,Employeed after graduation,Location of primary school,Location of secondary school,Disability,Fatherss highest level of education,Motherss highest level of education,Socio-economic level,Father occupation,Mother occupation,Electronic gadgets,Internet access at home,VT,QT,AT,OT
1015346,University of Gondar,2.83,2015,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Private,Private,"Mobile phone with touch screen, ",Yes,27,33,8,68
1040936,Addis Ababa University,3.05,2018,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,private,private,"Mobile phone with touch screen, ",No,21,30,17,68
1017509,adama science and technology university,3.38,2018,Yes,Amhara,Amhara,,Primary Education,Post Secondary,Better than,farmer,nurse,"Mobile phone with touch screen, ",Yes,25,30,13,68
1002717,Haramaya university,2.78,2008,Yes,Oromia,Oromia,,Secondary Education,Secondary Education,Same as,None,none,"Mobile phone with touch screen, ",Yes,31,19,18,68
1012776,PRETOR BUSINESS COLLEGE,3.89,2020,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,not alive,none,"Mobile phone with touch screen, ",Yes,30,22,16,68
1019977,"kalinga institute industrial technology(KIIT),india",3.64,2021 GC,No,Sidama,Sidama,,Post Secondary,Secondary Education,Same as,dentist,none,"Mobile phone with touch screen, ",Yes,33,19,16,68
1084909,mekelle university,2.87,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Engenier,no job,"Mobile phone with touch screen, ",No,35,21,12,68
1000012,Arba Minch University,2.97,2008,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Trading,no,"Mobile phone with touch screen, ",No,29,21,18,68
1084887,Bahirdar University,2.88,2017,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,no,"Mobile phone with touch screen, ",Yes,31,24,13,68
1014677,wollo university,2.85,2018,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,nurse,midwife,"Mobile phone with touch screen, ",No,38,14,16,68
1002757,addis abeba science and technology university,2.89,2021g.c,No,Amhara,Amhara,,Primary Education,Primary Education,Worse than,merchant,merchant,"Mobile phone with touch screen, ",No,30,24,14,68
1015787,Addis Ababa Science and Technology University,3.41,2021,Yes,Addis Ababa,Addis Ababa,,Primary Education,Secondary Education,Same as,merchant,merchant,"Mobile phone with touch screen, ",No,32,18,18,68
1013654,Hawassa university,3.42,2002,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",Physical/Motor Impairment,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,Merchant,"Mobile phone with touch screen, ",Yes,27,26,15,68
1015333,Jigjiga University,3.77,2020,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,Merchant,Merchant,"Mobile phone with touch screen, ",Yes,32,26,10,68
1017609,HAWASSA UNIVERSITY,2.68,2015,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Secondary Education,Same as,Accountant,Merchant,"Mobile phone with touch screen, ",Yes,28,28,12,68
17059,ste Paul Hospital millennium Medical College,3.04,2016,Yes,Oromia,Oromia,,Post Secondary,,Same as,Retired AIR force technician,machine maintenance,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,34,24,10,68
1040647,JIMMA University,2.98,2013,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,teacher,librarian,"Mobile phone with touch screen, ",Yes,27,25,16,68
47869,Menschebn fur Menschen Agro-Technical and Technology College,3.26,2016,Yes,Oromia,Oromia,,Secondary Education,Non Literate Adult and Non Formal Education,Same as,Merchant,Indoor,"Mobile phone with touch screen, ",Yes,25,32,11,68
17992,Hawassa university,3.32,2018,Yes,Addis Ababa,Addis Ababa,,Primary Education,,Same as,Merchant,Housewife,"Mobile phone with touch screen, ",Yes,34,15,19,68
1000201,AAU college of health sciences,3,2005,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Better than,merchant,housewife,"Mobile phone with touch screen, ",No,31,25,12,68
1015593,Addis Ababa UNIVERSITY,2.88,2007,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Non Literate Adult and Non Formal Education,Same as,Goverment,Housewife,"Mobile phone with touch screen, ",Yes,35,16,17,68
1017675,yekatit 12 hospital medical college,3.54,2019,Yes,Amhara,Amhara,,Primary Education,Non Literate Adult and Non Formal Education,Same as,FARMER,housewife,"Mobile phone with touch screen, ",No,34,22,12,68
1018592,Mekelle university,3.25,1998 E.C,Yes,Tigray,Tigray,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Trader,housewife,"Mobile phone with touch screen, ",No,29,30,9,68
1018699,jimma,3.19,2008e.c,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,businessman,housewife,"Mobile phone with touch screen, ",No,35,21,12,68
1042291,Gondar university,3.1,2011,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,housewife,"Mobile phone with touch screen, ",Yes,38,13,17,68
1042861,wolkite university,3.94,2020,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,Merchant,Housewife,"Mobile phone with touch screen, ",Yes,26,23,19,68
1040950,hawassa unversity,3,2006,Yes,Amhara,Amhara,,Post Secondary,Primary Education,Same as,teacher,housewife,"Mobile phone with touch screen, ",No,30,23,15,68
1085196,Hayat medical college,3.1,2019,Yes,Amhara,Addis Ababa,,Secondary Education,Primary Education,Same as,Private,housewife," Desktop computer, ",Yes,31,22,15,68
16940,Debre Markos University,3.81,2012,Yes,Amhara,Amhara,,Primary Education,,Same as,Farmer,House Wife,"Mobile phone with touch screen, ",Yes,38,11,19,68
18928,Hilcoe school of computer science and technology,3.74,2008,Yes,Addis Ababa,Addis Ababa,,Post Secondary,,Same as,Technician,house wife,"Mobile phone with touch screen, ",Yes,32,16,20,68
1000206,Bule Hora university,3.77,2018,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,electrician,house wife," Mobile phone without touch screen, ",No,25,33,10,68
1000430,Addis Ababa University,2.7,1995,Yes,Amhara,Amhara,,Post Secondary,Non Literate Adult and Non Formal Education,Same as,former teacher,HOUSE WIFE,"Mobile phone with touch screen, ",Yes,23,26,19,68
1002967,Addis Ababa University,2.97,2007,Yes,Tigray,Tigray,,Primary Education,Non Literate Adult and Non Formal Education,Same as,Agriculture,house wife,"Mobile phone with touch screen, ",Yes,41,15,12,68
1015813,Hope University Colleg,3.69,2013E.C,No,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Accountant,House wife,"Mobile phone with touch screen, ",Yes,23,26,19,68
1015049,mekelle universty,3.01,2,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Business Man,house wife,"Mobile phone with touch screen, ",Yes,31,16,21,68
1015037,University of Gondar,2.92,2009,Yes,Oromia,Oromia,,Secondary Education,Primary Education,Worse than,Dead,house wife,"Mobile phone with touch screen, ",Yes,30,18,20,68
1017723,Haramaya university,2.99,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,Government employee,House wife,"Mobile phone with touch screen, ",Yes,36,17,15,68
1019972,Aksum University,3.64,2006,Yes,Tigray,Tigray,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,House wife,"Mobile phone with touch screen, ",Yes,29,30,9,68
1017479,jimma university,3.22,2018,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,house wife,"Mobile phone with touch screen, ",No,31,25,12,68
1018572,Saint Maryss University,3.64,2020,Yes,Addis Ababa,Addis Ababa,,Other,Primary Education,Same as,Driver,House wife,"Mobile phone with touch screen, ",Yes,32,27,9,68
